GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, G(x), G(y), G(z), G(calibrated), 
Fri Jun 24 20:05:19 GMT+02:00 2022,24-Jun-2022 20:05:20.563,-5.791223900766644,37.18833765042968,9.88792610168457,3.8731296062469482,97.38837345596403,180.9691619873047,-1.24990737,7.01838207,7.95032024,0.10751861,
Fri Jun 24 20:05:20 GMT+02:00 2022,24-Jun-2022 20:05:21.564,-5.791228908153081,37.188243456739535,11.053691864013672,4.035068988800049,97.13463281746954,182.6304931640625,-0.56305879,5.89269543,6.14141464,-0.11149728,
Fri Jun 24 20:05:21 GMT+02:00 2022,24-Jun-2022 20:05:22.563,-5.7912371718054345,37.18814053508873,11.721359252929688,4.0644145011901855,97.01099150534719,185.22537231445312,-0.68089181,6.17985582,6.93330193,-0.03170127,
Fri Jun 24 20:05:22 GMT+02:00 2022,24-Jun-2022 20:05:23.563,-5.79124838257188,37.18803650153078,11.363492965698242,4.018310070037842,97.17044193670154,184.68992614746094,-0.51779878,6.37757874,6.40325403,-0.05824232,
Fri Jun 24 20:05:23 GMT+02:00 2022,24-Jun-2022 20:05:24.563,-5.791260556711187,37.187936738128926,10.860041618347168,4.0776286125183105,97.26504713762552,184.85720825195312,-0.62361294,6.12058496,5.97869539,-0.10650796,
Fri Jun 24 20:05:24 GMT+02:00 2022,24-Jun-2022 20:05:25.564,-5.7912700518406535,37.18784177241762,10.158743858337402,4.103132724761963,97.17168116942048,183.14556884765625,-0.36486676,6.27984715,6.43835306,-0.06344426,
Fri Jun 24 20:05:25 GMT+02:00 2022,24-Jun-2022 20:05:26.563,-5.79127893546842,37.18775475297057,9.436196327209473,4.048676013946533,97.11455065570772,184.45127868652344,-0.91105121,6.51843452,9.57371426,0.20329326,
Fri Jun 24 20:05:26 GMT+02:00 2022,24-Jun-2022 20:05:27.563,-5.791287001395101,37.187673082167656,8.922579765319824,3.8859360218048096,96.99036394804716,183.02685546875,-1.96183765,7.61991072,5.94054079,0.02400512,
Fri Jun 24 20:05:27 GMT+02:00 2022,24-Jun-2022 20:05:28.564,-5.791285233586025,37.187591535389735,9.136879920959473,3.7330808639526367,96.96686255279928,175.27488708496094,-1.80835974,7.73924732,6.52222729,0.06704491,
Fri Jun 24 20:05:28 GMT+02:00 2022,24-Jun-2022 20:05:29.564,-5.7912680374897,37.1875061136936,9.81575870513916,3.6645050048828125,96.88041280768812,167.8534698486328,-0.63820803,6.68862391,6.70817947,0.00092591,
Fri Jun 24 20:05:29 GMT+02:00 2022,24-Jun-2022 20:05:30.564,-5.791249096282015,37.187413117258124,11.050064086914062,3.71332049369812,97.37957561202347,169.27845764160156,-0.56309712,6.75091171,7.74289608,0.00281621,
Fri Jun 24 20:05:30 GMT+02:00 2022,24-Jun-2022 20:05:31.563,-5.791222713790188,37.18731571808339,10.833059310913086,3.718552589416504,97.39431698340923,165.227294921875,-0.75256461,7.60245228,7.88582993,0.07889858,
Fri Jun 24 20:05:31 GMT+02:00 2022,24-Jun-2022 20:05:32.563,-5.791195422391748,37.18721859557974,10.42646312713623,3.877391815185547,97.2217768067494,165.70120239257812,-0.86811841,6.91274023,6.13481617,-0.03471255,
Fri Jun 24 20:05:32 GMT+02:00 2022,24-Jun-2022 20:05:33.563,-5.791165223183988,37.18713196205054,9.542853355407715,4.109084606170654,97.14580123312771,162.71604919433594,-1.5070734,6.44860983,7.56771708,0.04409188,
Fri Jun 24 20:05:33 GMT+02:00 2022,24-Jun-2022 20:05:34.563,-5.791136485239605,37.187049745211475,9.127557754516602,4.111040115356445,97.00488812848926,159.8933868408203,-1.60396194,6.2337923,6.45494986,-0.05175656,
Fri Jun 24 20:05:34 GMT+02:00 2022,24-Jun-2022 20:05:35.563,-5.79110698173816,37.18697604342476,8.417353630065918,3.9322166442871094,96.86484451033175,160.79542541503906,-0.6287269,6.03920126,6.69406366,-0.0597387,
Fri Jun 24 20:05:35 GMT+02:00 2022,24-Jun-2022 20:05:36.563,-5.791070404356356,37.18690806696631,7.985656261444092,3.7810587882995605,96.74530338309705,157.36026000976562,-0.73144776,5.34145451,7.70002079,-0.02281326,
Fri Jun 24 20:05:36 GMT+02:00 2022,24-Jun-2022 20:05:37.564,-5.791035819958325,37.186850728960536,6.694667339324951,3.8478527069091797,96.49666753411293,154.74388122558594,-1.20946443,6.60218382,7.15492821,0.01904434,
